Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976788.839039,1616976788.849536,388,10.496854782104492,0,19,19248,18,5,16491,1921,
1616976788.853035,1616976788.862168,389,9.133100509643555,0,19,19238,18,5,16481,1921,
1616976788.86493,1616976788.873785,390,8.855104446411133,0,19,19248,18,5,16491,1921,
1616976788.876825,1616976788.885205,391,8.379936218261719,0,19,19241,18,5,16484,1921,
1616976788.887941,1616976788.895903,392,7.962226867675781,0,19,19242,18,5,16485,1921,
1616976788.899496,1616976788.909632,393,10.135889053344727,0,19,19247,18,5,16490,1921,
1616976788.913073,1616976788.921825,394,8.751869201660156,0,19,19238,18,5,16481,1921,
1616976788.925197,1616976788.931936,395,6.739139556884766,0,19,19239,18,5,16482,1921,
1616976788.935225,1616976788.944241,396,9.016036987304688,0,19,19242,18,5,16485,1921,
1616976788.946914,1616976788.956291,397,9.377002716064453,0,21,19422,20,5,16576,1922,
1616976788.959326,1616976788.968627,398,9.300947189331055,0,19,19240,18,5,16483,1921,
1616976788.97272,1616976788.982972,399,10.251998901367188,0,21,19430,20,5,16585,1921,
1616976788.985578,1616976788.99479,400,9.212017059326172,0,19,19246,18,5,16489,1921,
1616976788.997314,1616976789.006075,401,8.760929107666016,0,19,19250,18,5,16493,1921,
1616976789.008484,1616976789.017486,402,9.002208709716797,0,19,19250,18,5,16493,1921,
1616976789.021387,1616976789.029594,403,8.206844329833984,0,21,19432,20,5,16587,1921,
1616976789.032422,1616976789.041683,404,9.260892868041992,0,19,19242,18,5,16485,1921,
1616976789.046899,1616976789.055469,405,8.569955825805664,0,21,19427,20,5,16582,1921,
1616976789.058299,1616976789.066538,406,8.239030838012695,0,21,19421,20,5,16576,1921,
1616976789.069605,1616976789.079581,407,9.975910186767578,0,19,19238,18,5,16481,1921,
1616976789.083662,1616976789.092769,408,9.106874465942383,0,19,19245,18,5,16488,1921,
1616976789.096658,1616976789.107848,409,11.189937591552734,0,19,19239,18,5,16482,1921,
1616976789.111144,1616976789.119259,410,8.115053176879883,0,19,19249,18,5,16492,1921,
1616976789.122903,1616976789.131755,411,8.852005004882812,0,19,19248,18,5,16491,1921,
1616976789.13563,1616976789.144753,412,9.123086929321289,0,19,19248,18,5,16491,1921,
1616976789.148693,1616976789.156877,413,8.183956146240234,0,19,19250,18,5,16493,1921,
1616976789.160884,1616976789.169857,414,8.973121643066406,0,19,19240,18,5,16483,1921,
1616976789.172325,1616976789.180235,415,7.910013198852539,0,19,19248,18,5,16491,1921,
1616976789.183865,1616976789.193416,416,9.551048278808594,0,19,19249,18,5,16492,1921,
1616976789.197142,1616976789.206189,417,9.04703140258789,0,19,19244,18,5,16487,1921,
1616976789.210055,1616976789.220112,418,10.05697250366211,0,19,19247,18,5,16490,1921,
1616976789.223776,1616976789.234788,419,11.011838912963867,0,19,19240,18,5,16483,1921,
1616976789.237769,1616976789.246507,420,8.738040924072266,0,19,19239,18,5,16482,1921,
1616976789.249889,1616976789.25764,421,7.750988006591797,0,19,19244,18,5,16487,1921,
1616976789.260331,1616976789.269043,422,8.712053298950195,0,19,19242,18,5,16485,1921,
1616976789.2728,1616976789.280682,423,7.882118225097656,0,19,19242,18,5,16485,1921,
1616976789.283974,1616976789.292301,424,8.327007293701172,0,19,19241,18,5,16484,1921,
1616976789.297071,1616976789.305432,425,8.361101150512695,0,19,19240,18,5,16483,1921,
1616976789.309521,1616976789.318227,426,8.706092834472656,0,19,19247,18,5,16490,1921,
1616976789.321265,1616976789.331527,427,10.262012481689453,0,19,19240,18,5,16483,1921,
1616976789.33533,1616976789.345454,428,10.123968124389648,0,19,19249,18,5,16492,1921,
1616976789.349291,1616976789.358768,429,9.476900100708008,0,19,19238,18,5,16481,1921,
1616976789.361423,1616976789.369895,430,8.471965789794922,0,19,19247,18,5,16490,1921,
1616976789.37352,1616976789.381275,431,7.755041122436523,0,19,19249,18,5,16492,1921,
1616976789.383997,1616976789.393401,432,9.40394401550293,0,21,19424,20,5,16579,1921,
1616976789.397002,1616976789.407071,433,10.069131851196289,0,19,19242,18,5,16485,1921,
1616976789.410546,1616976789.421217,434,10.670900344848633,0,19,19244,18,5,16487,1921,
1616976789.424592,1616976789.433831,435,9.238958358764648,0,19,19247,18,5,16490,1921,
1616976789.437762,1616976789.446808,436,9.046077728271484,0,19,19243,18,5,16486,1921,
1616976789.44971,1616976789.458216,437,8.506059646606445,0,19,19238,18,5,16481,1921,
1616976789.462311,1616976789.470467,438,8.156061172485352,0,19,19241,18,5,16484,1921,
1616976789.473649,1616976789.484385,439,10.73598861694336,0,19,19239,18,5,16482,1921,
1616976789.487006,1616976789.496216,440,9.21010971069336,0,19,19243,18,5,16486,1921,
1616976789.499814,1616976789.50811,441,8.296012878417969,0,19,19245,18,5,16488,1921,
1616976789.51177,1616976789.521369,442,9.598970413208008,0,21,19428,20,5,16583,1921,
1616976789.525043,1616976789.53458,443,9.536981582641602,0,21,19425,20,5,16580,1921,
1616976789.537506,1616976789.546841,444,9.334802627563477,0,19,19238,18,5,16481,1921,
1616976789.549923,1616976789.557657,445,7.734060287475586,0,19,19238,18,5,16481,1921,
1616976789.560562,1616976789.569463,446,8.901119232177734,0,19,19247,18,5,16490,1921,
1616976789.572671,1616976789.582484,447,9.813070297241211,0,19,19238,18,5,16481,1921,
1616976789.585626,1616976789.594247,448,8.6212158203125,0,19,19244,18,5,16487,1921,
1616976789.597881,1616976789.608408,449,10.526895523071289,0,19,19249,18,5,16492,1921,
1616976789.611423,1616976789.618737,450,7.313966751098633,0,19,19243,18,5,16486,1921,
1616976789.621769,1616976789.630744,451,8.975028991699219,0,19,19248,18,5,16491,1921,
1616976789.634427,1616976789.644118,452,9.690999984741211,0,19,19244,18,5,16487,1921,
1616976789.647498,1616976789.656624,453,9.12618637084961,0,19,19244,18,5,16487,1921,
1616976789.660278,1616976789.670272,454,9.994029998779297,0,19,19238,18,5,16481,1921,
1616976789.673077,1616976789.682187,455,9.109973907470703,0,19,19247,18,5,16490,1921,
1616976789.686465,1616976789.695227,456,8.761882781982422,0,19,19248,18,5,16491,1921,
1616976789.698083,1616976789.707633,457,9.550094604492188,0,21,19423,20,5,16578,1921,
1616976789.711317,1616976789.71922,458,7.902860641479492,0,19,19238,18,5,16481,1921,
1616976789.722354,1616976789.730042,459,7.688045501708984,0,19,19242,18,5,16485,1921,
1616976789.73494,1616976789.743897,460,8.9569091796875,0,19,19240,18,5,16483,1921,
1616976789.747404,1616976789.756036,461,8.63194465637207,0,19,19249,18,5,16492,1921,
1616976789.758944,1616976789.769149,462,10.20503044128418,0,19,19249,18,5,16492,1921,
1616976789.772432,1616976789.780336,463,7.903814315795898,0,19,19248,18,5,16491,1921,
1616976789.783765,1616976789.79261,464,8.844852447509766,0,19,19246,18,5,16489,1921,
1616976789.795608,1616976789.803466,465,7.858037948608398,0,19,19243,18,5,16486,1921,
1616976789.806507,1616976789.814703,466,8.195877075195312,0,19,19244,18,5,16487,1921,
1616976789.818387,1616976789.827108,467,8.720874786376953,0,19,19245,18,5,16488,1921,
1616976789.830031,1616976789.837144,468,7.112979888916016,0,19,19248,18,5,16491,1921,
1616976789.840853,1616976789.849143,469,8.29005241394043,0,19,19241,18,5,16484,1921,
1616976789.852624,1616976789.860036,470,7.411956787109375,0,19,19249,18,5,16492,1921,
1616976789.862923,1616976789.871177,471,8.254051208496094,0,19,19245,18,5,16488,1921,
1616976789.874694,1616976789.882866,472,8.171796798706055,0,19,19243,18,5,16486,1921,
1616976789.885919,1616976789.895321,473,9.401798248291016,0,19,19238,18,5,16481,1921,
1616976789.899519,1616976789.909113,474,9.593963623046875,0,19,19244,18,5,16487,1921,
1616976789.912647,1616976789.920796,475,8.148908615112305,0,19,19240,18,5,16483,1921,
1616976789.925146,1616976789.934181,476,9.034872055053711,0,19,19241,18,5,16484,1921,
1616976789.937559,1616976789.945099,477,7.540225982666016,0,19,19245,18,5,16488,1921,
1616976789.948747,1616976789.958283,478,9.536027908325195,0,19,19250,18,5,16493,1921,
1616976789.962138,1616976789.970174,479,8.036136627197266,0,19,19243,18,5,16486,1921,
1616976789.973189,1616976789.981568,480,8.378982543945312,0,19,19249,18,5,16492,1921,
1616976789.984611,1616976789.991915,481,7.303953170776367,0,19,19244,18,5,16487,1921,
1616976789.994723,1616976790.002486,482,7.762908935546875,0,19,19248,18,5,16491,1921,
1616976790.005921,1616976790.013961,483,8.040189743041992,0,19,19249,18,5,16492,1921,
1616976790.017469,1616976790.025456,484,7.987022399902344,0,19,19247,18,5,16490,1921,
1616976790.028631,1616976790.036341,485,7.709980010986328,0,19,19238,18,5,16481,1921,
1616976790.039774,1616976790.048452,486,8.677959442138672,0,19,19243,18,5,16486,1921,
1616976790.051225,1616976790.059912,487,8.687019348144531,0,19,19238,18,5,16481,1921,
1616976790.063717,1616976790.072303,488,8.58616828918457,0,19,19242,18,5,16485,1921,
1616976790.075748,1616976790.084786,489,9.037971496582031,0,19,19246,18,5,16489,1921,
1616976790.088957,1616976790.097097,490,8.139848709106445,0,19,19241,18,5,16484,1921,
1616976790.100589,1616976790.110511,491,9.922027587890625,0,19,19247,18,5,16490,1921,
