Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065168.468097,1617065168.477133,586,9.036064147949219,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.481799,1617065168.488932,587,7.133007049560547,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065168.492412,1617065168.501129,588,8.716821670532227,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065168.504897,1617065168.511832,589,6.934881210327148,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065168.514792,1617065168.523477,590,8.685111999511719,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065168.526753,1617065168.535562,591,8.809089660644531,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.538879,1617065168.547033,592,8.154153823852539,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065168.550502,1617065168.559537,593,9.034872055053711,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065168.562722,1617065168.572191,594,9.469032287597656,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065168.576168,1617065168.586214,595,10.046005249023438,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065168.589304,1617065168.599065,596,9.76109504699707,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.602932,1617065168.609937,597,7.004976272583008,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.613507,1617065168.622044,598,8.537054061889648,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065168.625026,1617065168.634485,599,9.45901870727539,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065168.637615,1617065168.645967,600,8.352041244506836,0,11,7578,8,7,5111,1983,,0.0,0,0,
1617065168.649431,1617065168.65773,601,8.299112319946289,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065168.66165,1617065168.670062,602,8.41212272644043,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.673875,1617065168.68346,603,9.584903717041016,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.686587,1617065168.693844,604,7.256984710693359,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065168.697297,1617065168.705571,605,8.273839950561523,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065168.709443,1617065168.718049,606,8.60595703125,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.721833,1617065168.730368,607,8.534908294677734,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065168.7335,1617065168.745556,608,12.056112289428711,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.749047,1617065168.75953,609,10.483026504516602,0,11,7584,8,7,5117,1983,,0.0,0,0,
1617065168.76419,1617065168.772461,610,8.270978927612305,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.776343,1617065168.786558,611,10.214805603027344,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.790132,1617065168.796827,612,6.695032119750977,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065168.800881,1617065168.809616,613,8.735179901123047,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065168.813073,1617065168.81955,614,6.477117538452148,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065168.823776,1617065168.831222,615,7.446050643920898,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065168.834516,1617065168.842695,616,8.178949356079102,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.84576,1617065168.854279,617,8.51893424987793,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065168.85817,1617065168.866476,618,8.306026458740234,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.870266,1617065168.882447,619,12.18104362487793,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065168.886456,1617065168.895436,620,8.980035781860352,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065168.898747,1617065168.907659,621,8.912086486816406,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.911329,1617065168.920322,622,8.992910385131836,0,9,7436,8,5,5119,1921,,0.0,0,0,
