Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065850.944659,1617065850.969361,1111,24.702072143554688,10,9,6603,8,5,4286,1921,,0.0,0,0,
1617065850.990806,1617065851.00092,1112,10.113954544067383,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065851.17316,1617065851.182897,1113,9.737014770507812,10,8,7343,8,4,5111,1880,,0.0,0,0,
1617065851.20394,1617065851.21363,1114,9.690046310424805,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065851.235796,1617065851.246906,1115,11.110067367553711,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065851.267211,1617065851.278069,1116,10.85805892944336,10,9,7427,8,5,5110,1921,,0.0,0,0,
1617065851.298706,1617065851.30696,1117,8.254051208496094,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065851.329355,1617065851.338449,1118,9.093999862670898,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065851.361478,1617065851.376086,1119,14.607906341552734,10,9,7436,8,5,5119,1921,,0.0,0,0,
1617065851.396069,1617065851.404579,1120,8.50987434387207,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065851.575861,1617065851.585496,1121,9.634971618652344,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065851.605501,1617065851.613694,1122,8.193016052246094,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065851.634464,1617065851.645072,1123,10.60795783996582,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065851.816865,1617065851.825909,1124,9.04393196105957,10,9,7427,8,5,5110,1921,,0.0,0,0,
1617065851.846697,1617065851.856998,1125,10.300874710083008,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065851.876543,1617065851.885918,1126,9.374856948852539,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065851.907082,1617065851.917038,1127,9.955883026123047,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065851.937175,1617065851.946441,1128,9.265899658203125,10,8,7350,8,4,5118,1880,,0.0,0,0,
1617065851.969745,1617065878.926101,1129,26956.356048583984,10,34,9706,8,30,5118,3092,,0.0,0,0,
1617065851.998288,1617065852.006396,1130,8.108139038085938,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065852.027141,1617065852.052489,1131,25.34794807434082,10,9,6604,8,5,4287,1921,,0.0,0,0,
1617065852.072526,1617065852.097678,1132,25.151968002319336,10,9,6609,8,5,4292,1921,,0.0,0,0,
1617065852.11904,1617065852.127538,1133,8.497953414916992,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065852.148919,1617065852.157462,1134,8.542776107788086,10,8,7345,8,4,5113,1880,,0.0,0,0,
